id,listing_url,name,bedrooms,beds,bathrooms,accommodates,price,room_type,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_id,host_name,host_since,current_host_listings,total_host_listings_count,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
48899543,https://www.airbnb.com/rooms/48899543,Home in Asheville , 1 bedroom , 2 beds , 2 baths,5,150,Entire home/apt,4.78,4.89,4.44,4.89,4.56,4.89,4.78,96187307,Yonder,9/21/2016,252,299,2,9,4/26/2021,0.27,2,88,0
53846446,https://www.airbnb.com/rooms/53846446,Home in Asheville , 1 bedroom , 1 beds , 1 bath,2,106,Entire home/apt,5,5,5,5,5,4.67,5,96187307,Yonder,9/21/2016,252,299,2,3,10/23/2022,0.25,1,0,3
8.59E+17,https://www.airbnb.com/rooms/858778017596263853,Condo in Asheville , 1 bedroom , 1 beds , 1 bath,2,176,Entire home/apt,,,,,,,,96187307,Yonder,9/21/2016,252,299,30,0,,,1,0,0
29482441,https://www.airbnb.com/rooms/29482441,Cabin in Asheville , 1 bedroom , 2 beds , 1 bath,2,64,Entire home/apt,4.91,4.95,4.96,4.89,5,4.96,4.91,134903005,Carolina Mornings,6/13/2017,146,182,1,57,9/10/2023,8.26,1,222,57
29852695,https://www.airbnb.com/rooms/29852695,Home in Asheville , 1 bedroom , 1 beds , 1 bath,2,109,Entire home/apt,4.92,4.97,4.97,4.97,4.98,4.9,4.92,134903005,Carolina Mornings,6/13/2017,146,182,1,395,7/16/2023,4.08,1,266,14
7.04E+17,https://www.airbnb.com/rooms/704201021761597436,Home in Asheville , 1 bedroom , 2 beds , 2 baths,3,75,Entire home/apt,4.81,4.88,4.73,4.87,4.83,4.83,4.81,134903005,Carolina Mornings,6/13/2017,146,182,3,78,9/19/2022,1.09,2,0,1
8.07E+17,https://www.airbnb.com/rooms/807354529237189568,Home in Asheville , 1 bedroom , 2 beds , 1.5 baths,2,96,Entire home/apt,4.84,4.99,4.99,4.96,4.99,4.99,4.84,134903005,Carolina Mornings,6/13/2017,146,182,3,113,9/10/2023,3.42,8,148,35
8.58E+17,https://www.airbnb.com/rooms/858068395098620771,Cabin in Asheville , 1 bedroom , 1 beds , 1 bath,2,54,Entire home/apt,,,,,,,,134903005,Carolina Mornings,6/13/2017,146,182,1,0,,,8,0,0
9.75E+17,https://www.airbnb.com/rooms/975271192219936936,Home in Asheville , 1 bedroom , 1 beds , 1 bath,2,49,Entire home/apt,,,,,,,,134903005,Carolina Mornings,6/13/2017,146,182,30,0,,,1,123,0
49712318,https://www.airbnb.com/rooms/49712318,Home in Arden , 1 bedroom , 1 beds , 1 bath,3,134,Entire home/apt,4.97,5,4.99,4.99,4.99,4.97,4.97,3323899,"Lindsey, Sean, And Baby J",8/20/2012,26,139,2,156,9/7/2023,5.46,1,57,44
31267687,https://www.airbnb.com/rooms/31267687,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,162,Entire home/apt,4.92,4.99,4.98,4.99,4.98,4.95,4.92,167186184,Towns,1/11/2018,120,120,30,226,8/31/2023,3.54,1,179,4
31318558,https://www.airbnb.com/rooms/31318558,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,241,Entire home/apt,4.92,4.86,4.85,4.94,4.97,4.83,4.92,167186184,Towns,1/11/2018,120,120,2,145,8/5/2023,2.04,1,101,12
31681780,https://www.airbnb.com/rooms/31681780,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,126,Entire home/apt,4.92,4.89,4.98,4.97,4.96,4.85,4.92,167186184,Towns,1/11/2018,120,120,2,139,8/20/2023,2.23,2,328,20
33160534,https://www.airbnb.com/rooms/33160534,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,120,Entire home/apt,4.92,4.96,4.93,4.99,5,4.96,4.92,167186184,Towns,1/11/2018,120,120,1,212,9/2/2023,5.63,1,299,79
33160537,https://www.airbnb.com/rooms/33160537,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,120,Entire home/apt,4.92,4.9,4.82,5,5,4.82,4.92,167186184,Towns,1/11/2018,120,120,1,62,5/28/2023,1.57,19,361,13
33160539,https://www.airbnb.com/rooms/33160539,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,136,Entire home/apt,4.92,4.98,4.95,4.98,4.97,4.95,4.92,167186184,Towns,1/11/2018,120,120,2,63,5/9/2023,1.72,1,0,12
